Date,Temperature,Const1,Const2
1900/1,2.8,8,1
1900/2,1.6,8,1
1900/3,6.7,8,1
1900/4,22.1,8,1
1900/5,25.6,8,1
1900/6,27.4,8,1
1900/7,27.5,8,1
1900/8,30.1,8,1
1900/9,25.5,8,1
1900/10,21.1,8,1
1900/11,18.7,8,1
1900/12,10.2,8,1
1901/1,7.1,8,1
1901/2,3.3,8,1
1901/3,10.4,8,1
1901/4,21.4,8,1
1901/5,26.2,8,1
1901/6,26.7,8,1
1901/7,30.7,8,1
1901/8,28.6,8,1
1901/9,27.8,8,1
1901/10,22.0,8,1
1901/11,16.9,8,1
1901/12,5.9,8,1
1902/1,3.7,8,1
1902/2,8.3,8,1
1902/3,11.0,8,1
1902/4,17.6,8,1
1902/5,23.9,8,1
1902/6,26.2,8,1
1902/7,25.9,8,1
1902/8,28.1,8,1
1902/9,28.0,8,1
1902/10,22.5,8,1
1902/11,18.9,8,1
1902/12,8.7,8,1
1903/1,11.2,8,1
1903/2,8.4,8,1
1903/3,11.5,8,1
1903/4,21.6,8,1
1903/5,27.1,8,1
1903/6,26.3,8,1
1903/7,28.4,8,1
1903/8,29.6,8,1
1903/9,28.4,8,1
1903/10,22.1,8,1
1903/11,16.4,8,1
1903/12,7.7,8,1
1904/1,1.1,8,1
1904/2,7.5,8,1
1904/3,10.1,8,1
1904/4,18.6,8,1
1904/5,24.9,8,1
1904/6,27.1,8,1
1904/7,30.7,8,1
1904/8,32.6,8,1
1904/9,25.4,8,1
1904/10,23.1,5,1
1904/11,14.3,8,1
1904/12,12.3,8,1
1905/1,6.2,8,1
1905/2,2.4,8,1
1905/3,10.2,8,1
1905/4,16.3,8,1
1905/5,30.2,8,1
1905/6,27.4,8,1
1905/7,32.5,8,1
1905/8,27.7,8,1
1905/9,26.8,8,1
1905/10,21.7,8,1
1905/11,17.8,8,1
1905/12,13.4,8,1
1906/1,2.3,8,1
1906/2,3.2,8,1
1906/3,9.6,8,1
1906/4,16.1,8,1
1906/5,24.3,8,1
1906/6,25.9,8,1
1906/7,30.2,8,1
1906/8,28.9,8,1
1906/9,26.3,8,1
1906/10,22.5,8,1
1906/11,15.0,8,1
1906/12,10.3,8,1
1907/1,6.8,8,1
1907/2,5.4,8,1
1907/3,7.3,8,1
1907/4,20.7,8,1
1907/5,25.4,8,1
1907/6,28.1,8,1
1907/7,31.6,8,1
1907/8,30.9,8,1
1907/9,27.6,8,1
1907/10,20.7,8,1
1907/11,15.2,8,1
1907/12,6.5,8,1
1908/1,4.8,8,1
1908/2,7.0,8,1
1908/3,13.8,8,1
1908/4,22.1,8,1
1908/5,20.5,8,1
1908/6,25.6,8,1
1908/7,31.8,8,1
1908/8,33.0,8,1
1908/9,26.0,8,1
1908/10,23.4,8,1
1908/11,13.8,8,1
1908/12,7.4,8,1
1909/1,2.8,8,1
1909/2,5.4,8,1
1909/3,5.1,8,1
1909/4,21.7,8,1
1909/5,26.2,8,1
1909/6,28.0,8,1
1909/7,30.8,8,1
1909/8,32.4,8,1
1909/9,26.0,8,1
1909/10,19.4,8,1
1909/11,18.7,8,1
1909/12,6.3,8,1
1910/1,9.1,8,1
